date,day,time,feet,centimeters,tide
2014/04/12,Sat,03:56 PM,3.8,116,H
2014/04/12,Sat,10:06 PM,-0.1,-3,L
2014/04/13,Sun,04:16 AM,3.9,119,H
2014/04/13,Sun,10:20 AM,-0.1,-3,L
2014/04/13,Sun,04:27 PM,4.1,125,H
2014/04/13,Sun,10:34 PM,-0.4,-12,L
2014/04/14,Mon,04:45 AM,4.3,131,H
2014/04/14,Mon,10:52 AM,-0.5,-15,L
2014/04/14,Mon,04:57 PM,4.3,131,H
2014/04/14,Mon,11:02 PM,-0.6,-18,L
2014/04/15,Tue,05:14 AM,4.6,140,H
2014/04/15,Tue,11:23 AM,-0.7,-21,L
2014/04/15,Tue,05:28 PM,4.4,134,H
2014/04/15,Tue,11:30 PM,-0.7,-21,L
2014/04/16,Wed,05:43 AM,4.8,146,H
2014/04/16,Wed,11:56 AM,-0.8,-24,L
2014/04/16,Wed,05:59 PM,4.3,131,H
2014/04/17,Thu,12:00 AM,-0.7,-21,L
2014/04/17,Thu,06:15 AM,4.9,149,H
2014/04/17,Thu,12:29 PM,-0.8,-24,L
2014/04/17,Thu,06:32 PM,4.2,128,H
2014/04/18,Fri,12:31 AM,-0.6,-18,L
2014/04/18,Fri,06:48 AM,4.8,146,H
2014/04/18,Fri,01:06 PM,-0.6,-18,L
2014/04/18,Fri,07:07 PM,3.9,119,H
2014/04/19,Sat,01:04 AM,-0.4,-12,L
2014/04/19,Sat,07:24 AM,4.6,140,H
2014/04/19,Sat,01:46 PM,-0.3,-9,L
2014/04/19,Sat,07:46 PM,3.6,110,H
2014/04/20,Sun,01:41 AM,-0.1,-3,L
2014/04/20,Sun,08:05 AM,4.3,131,H
2014/04/20,Sun,02:33 PM,0.0,0,L
2014/04/20,Sun,08:32 PM,3.1,94,H
2014/04/21,Mon,02:25 AM,0.3,9,L
2014/04/21,Mon,08:56 AM,3.9,119,H
2014/04/21,Mon,03:34 PM,0.4,12,L
2014/04/21,Mon,09:36 PM,2.7,82,H
2014/04/22,Tue,03:26 AM,0.8,24,L
2014/04/22,Tue,10:07 AM,3.5,107,H
2014/04/22,Tue,05:03 PM,0.7,21,L
2014/04/22,Tue,11:18 PM,2.5,76,H
2014/04/23,Wed,05:07 AM,1.1,34,L
2014/04/23,Wed,11:52 AM,3.3,101,H
2014/04/23,Wed,06:50 PM,0.7,21,L
2014/04/24,Thu,01:15 AM,2.8,85,H
2014/04/24,Thu,07:08 AM,1.0,30,L
2014/04/24,Thu,01:32 PM,3.4,104,H
2014/04/24,Thu,08:08 PM,0.4,12,L
2014/04/25,Fri,02:28 AM,3.3,101,H
2014/04/25,Fri,08:28 AM,0.6,18,L
2014/04/25,Fri,02:40 PM,3.7,113,H
2014/04/25,Fri,09:01 PM,0.0,0,L
2014/04/26,Sat,03:18 AM,3.8,116,H
2014/04/26,Sat,09:23 AM,0.1,3,L
2014/04/26,Sat,03:31 PM,4.0,122,H
2014/04/26,Sat,09:43 PM,-0.3,-9,L
2014/04/27,Sun,03:58 AM,4.3,131,H
2014/04/27,Sun,10:08 AM,-0.3,-9,L
2014/04/27,Sun,04:13 PM,4.2,128,H
2014/04/27,Sun,10:19 PM,-0.5,-15,L
2014/04/28,Mon,04:35 AM,4.6,140,H
2014/04/28,Mon,10:47 AM,-0.6,-18,L
2014/04/28,Mon,04:51 PM,4.3,131,H
2014/04/28,Mon,10:53 PM,-0.6,-18,L
2014/04/29,Tue,05:09 AM,4.8,146,H
2014/04/29,Tue,11:23 AM,-0.7,-21,L
2014/04/29,Tue,05:26 PM,4.2,128,H
2014/04/29,Tue,11:25 PM,-0.7,-21,L
2014/04/30,Wed,05:41 AM,4.9,149,H
2014/04/30,Wed,11:58 AM,-0.7,-21,L
2014/04/30,Wed,05:59 PM,4.1,125,H
2014/04/30,Wed,11:55 PM,-0.6,-18,L
2014/05/01,Thu,06:13 AM,4.8,146,H
2014/05/01,Thu,12:31 PM,-0.6,-18,L
2014/05/01,Thu,06:31 PM,3.9,119,H
2014/05/02,Fri,12:25 AM,-0.4,-12,L
2014/05/02,Fri,06:44 AM,4.6,140,H
2014/05/02,Fri,01:04 PM,-0.4,-12,L
2014/05/02,Fri,07:02 PM,3.6,110,H
2014/05/03,Sat,12:54 AM,-0.2,-6,L
2014/05/03,Sat,07:14 AM,4.3,131,H
2014/05/03,Sat,01:37 PM,-0.1,-3,L
2014/05/03,Sat,07:34 PM,3.3,101,H
2014/05/04,Sun,01:24 AM,0.2,6,L
2014/05/04,Sun,07:46 AM,4.0,122,H
2014/05/04,Sun,02:12 PM,0.2,6,L
2014/05/04,Sun,08:08 PM,2.9,88,H
2014/05/05,Mon,01:56 AM,0.5,15,L
2014/05/05,Mon,08:22 AM,3.6,110,H
2014/05/05,Mon,02:53 PM,0.6,18,L
2014/05/05,Mon,08:50 PM,2.6,79,H
2014/05/06,Tue,02:34 AM,0.9,27,L
2014/05/06,Tue,09:06 AM,3.2,98,H
2014/05/06,Tue,03:48 PM,0.9,27,L
2014/05/06,Tue,09:52 PM,2.4,73,H
2014/05/07,Wed,03:33 AM,1.2,37,L
2014/05/07,Wed,10:12 AM,2.9,88,H
2014/05/07,Wed,05:13 PM,1.0,30,L
2014/05/07,Wed,11:38 PM,2.3,70,H
2014/05/08,Thu,05:22 AM,1.4,43,L
2014/05/08,Thu,11:55 AM,2.7,82,H
2014/05/08,Thu,06:51 PM,1.0,30,L
2014/05/09,Fri,01:22 AM,2.6,79,H
2014/05/09,Fri,07:17 AM,1.3,40,L
2014/05/09,Fri,01:28 PM,2.9,88,H
2014/05/09,Fri,07:57 PM,0.7,21,L
2014/05/10,Sat,02:21 AM,3.0,91,H
2014/05/10,Sat,08:24 AM,0.9,27,L
2014/05/10,Sat,02:28 PM,3.1,94,H
2014/05/10,Sat,08:43 PM,0.4,12,L
2014/05/11,Sun,03:03 AM,3.5,107,H
2014/05/11,Sun,09:11 AM,0.5,15,L
2014/05/11,Sun,03:13 PM,3.4,104,H
2014/05/11,Sun,09:20 PM,0.1,3,L
2014/05/12,Mon,03:38 AM,3.9,119,H
2014/05/12,Mon,09:50 AM,0.1,3,L
2014/05/12,Mon,03:52 PM,3.7,113,H
2014/05/12,Mon,09:55 PM,-0.2,-6,L
2014/05/13,Tue,04:13 AM,4.3,131,H
2014/05/13,Tue,10:27 AM,-0.3,-9,L
2014/05/13,Tue,04:29 PM,3.9,119,H
2014/05/13,Tue,10:29 PM,-0.4,-12,L
2014/05/14,Wed,04:47 AM,4.7,143,H
2014/05/14,Wed,11:04 AM,-0.6,-18,L
2014/05/14,Wed,05:06 PM,4.0,122,H
2014/05/14,Wed,11:03 PM,-0.6,-18,L
2014/05/15,Thu,05:22 AM,4.9,149,H
2014/05/15,Thu,11:41 AM,-0.8,-24,L
2014/05/15,Thu,05:43 PM,4.1,125,H
2014/05/15,Thu,11:39 PM,-0.6,-18,L
